loss,accuracy,val_loss,val_accuracy,lr
1.1933629512786865,0.5242659449577332,1.0595093965530396,0.563149631023407,1e-04
0.9821181893348694,0.6000000238418579,0.9204851388931274,0.6062992215156555,1e-04
0.8909773230552673,0.6218022108078003,0.8381103873252869,0.6428346633911133,1e-04
0.845276951789856,0.6330745816230774,0.7978754043579102,0.664251983165741,1e-04
0.8152667880058289,0.6396895051002502,0.7602066397666931,0.6881889700889587,1e-04
0.7889562249183655,0.6506918668746948,0.746643602848053,0.6922834515571594,1e-04
0.7780069708824158,0.6497468948364258,0.7364366054534912,0.6929134130477905,1e-04
0.766802191734314,0.6567667722702026,0.7233068346977234,0.7061417102813721,1e-04
0.7550889849662781,0.6622342467308044,0.7195121049880981,0.7045669555664062,1e-04
0.7367048263549805,0.6717516183853149,0.6874994039535522,0.7196850180625916,1e-04
2.0984251499176025,0.4987512528896332,2.2312681674957275,0.5011023879051208,1e-06
1.6388328075408936,0.535605788230896,1.915411114692688,0.5193700790405273,1e-06
1.4497908353805542,0.5567330121994019,1.7576416730880737,0.5357480049133301,1e-06
1.3614250421524048,0.5680729150772095,1.8303792476654053,0.5212598443031311,1e-06
1.289152979850769,0.5699628591537476,1.7568225860595703,0.5237795114517212,1e-06
1.2114664316177368,0.5784677863121033,1.6450657844543457,0.5423622131347656,1e-06
1.1524995565414429,0.5934525728225708,1.6939395666122437,0.5240944623947144,1e-06
1.138717532157898,0.5922375917434692,1.5815869569778442,0.5417323112487793,1e-06
1.090061902999878,0.5983800292015076,1.5333421230316162,0.5483464598655701,1e-06
1.050730586051941,0.6062774062156677,1.4558138847351074,0.5653543472290039,1e-06
1.0636792182922363,0.6061424016952515,1.3933806419372559,0.5757480263710022,1e-06
1.0431207418441772,0.6041849255561829,1.3722963333129883,0.5757480263710022,1e-06
0.9935126304626465,0.6134998202323914,1.3336832523345947,0.582362174987793,1e-06
0.977906346321106,0.6130948066711426,1.2964996099472046,0.5817322731018066,1e-06
0.9774982333183289,0.6185622811317444,1.3218480348587036,0.5744881629943848,1e-06
