,precision,recall,f1-score,support
COVID,0.8500903070439494,0.9234793982995422,0.8852664576802508,1529.0
Lung_Opacity,0.7429245283018868,0.5811808118081181,0.6521739130434783,542.0
Normal,0.8193979933110368,0.8148558758314856,0.8171206225680934,902.0
Viral_Pneumonia,0.9326424870466321,0.8910891089108911,0.9113924050632911,202.0
accuracy,0.8321259842519685,0.8321259842519685,0.8321259842519685,0.8321259842519685
macro avg,0.8362638289258764,0.8026512987125092,0.8164883495887784,3175.0
weighted avg,0.8283288019400933,0.8321259842519685,0.8277778715092515,3175.0
